iter	Passed	Remaining
0	54	54796
1	55	27613
2	55	18543
3	56	14009
4	56	11288
5	57	9473
6	57	8223
7	58	7223
8	58	6443
9	58	5820
10	59	5310
11	59	4885
12	59	4525
13	59	4216
14	60	3949
15	60	3715
16	60	3508
17	60	3324
18	61	3159
19	61	3011
20	61	2877
21	61	2755
22	62	2644
23	62	2542
24	62	2449
25	63	2362
26	63	2282
27	63	2207
28	63	2138
29	64	2073
30	64	2012
31	64	1955
32	64	1902
33	65	1852
34	65	1804
35	65	1759
36	65	1716
37	66	1676
38	66	1638
39	66	1602
40	67	1567
41	67	1534
42	67	1503
43	67	1472
44	68	1444
45	68	1416
46	68	1390
47	68	1365
48	69	1340
49	69	1317
50	69	1295
51	69	1273
52	70	1252
53	70	1233
54	70	1213
55	70	1195
56	71	1177
57	71	1159
58	71	1143
59	71	1127
60	72	1111
61	72	1096
62	72	1081
63	72	1067
64	73	1053
65	73	1040
66	73	1027
67	74	1014
68	74	1002
69	74	990
70	74	979
71	75	967
72	75	956
73	75	946
74	75	935
75	76	925
76	76	915
77	76	905
78	76	896
79	77	887
80	77	878
81	77	869
82	77	858
83	78	850
84	78	842
85	78	834
86	78	826
87	79	819
88	79	811
89	79	804
90	79	797
91	80	790
92	80	783
93	80	776
94	80	770
95	81	763
96	81	757
97	81	751
98	81	744
99	82	739
100	82	733
101	82	727
102	82	721
103	83	716
104	83	710
105	83	705
106	83	700
107	84	695
108	84	690
109	84	685
110	84	680
111	85	675
112	85	670
113	85	666
114	85	661
115	86	656
116	86	651
117	86	647
118	86	643
119	87	639
120	87	634
121	87	630
122	87	626
123	88	622
124	88	618
125	88	614
126	88	610
127	89	606
128	89	603
129	89	599
130	89	596
131	90	592
132	90	589
133	90	585
134	90	582
135	91	578
136	91	575
137	91	572
138	91	569
139	92	566
140	92	563
141	92	559
142	92	556
143	93	553
144	93	550
145	93	547
146	93	544
147	94	541
148	94	538
149	94	536
150	94	533
151	95	530
152	95	527
153	95	525
154	95	522
155	96	520
156	96	517
157	96	515
158	96	512
159	97	510
160	97	506
161	97	504
162	97	502
163	98	499
164	98	497
165	98	495
166	98	492
167	99	490
168	99	488
169	99	485
170	99	483
171	100	481
172	100	479
173	100	477
174	100	475
175	101	473
176	101	471
177	101	469
178	101	467
179	102	465
180	102	463
181	102	461
182	102	459
183	103	457
184	103	455
185	103	453
186	103	451
187	104	449
188	104	447
189	104	446
190	104	444
191	105	442
192	105	440
193	105	439
194	105	437
195	106	436
196	106	435
197	107	433
198	107	432
199	107	431
200	108	430
201	108	428
202	109	427
203	109	426
204	109	425
205	110	424
206	110	423
207	110	422
208	111	421
209	111	420
210	112	419
211	112	418
212	113	417
213	113	416
214	113	415
215	114	414
216	114	413
217	114	412
218	115	410
219	115	409
220	115	407
221	115	405
222	116	404
223	116	402
224	116	401
225	116	399
226	116	398
227	117	396
228	117	395
229	117	393
230	117	392
231	118	390
232	118	389
233	118	388
234	118	386
235	119	385
236	119	383
237	119	382
238	119	381
239	119	379
240	120	378
241	120	377
242	120	375
243	120	374
244	121	373
245	121	371
246	121	370
247	121	369
248	122	368
249	122	366
250	122	365
251	122	364
252	122	362
253	123	361
254	123	360
255	123	359
256	123	358
257	124	357
258	124	356
259	124	354
260	124	353
261	125	352
262	125	351
263	125	349
264	125	348
265	125	347
266	126	346
267	126	345
268	126	344
269	126	342
270	127	341
271	127	340
272	127	339
273	127	338
274	127	337
275	128	336
276	128	335
277	128	334
278	128	332
279	129	331
280	129	330
281	129	329
282	129	328
283	129	327
284	130	326
285	130	325
286	130	324
287	130	323
288	131	322
289	131	321
290	131	320
291	131	319
292	132	318
293	132	318
294	132	317
295	132	316
296	133	315
297	133	314
298	133	313
299	133	312
300	134	311
301	134	310
302	134	309
303	134	308
304	134	307
305	135	306
306	135	306
307	135	305
308	136	304
309	136	303
310	136	302
311	136	301
312	136	300
313	137	299
314	137	298
315	137	297
316	137	296
317	137	295
318	138	294
319	138	293
320	138	292
321	138	292
322	138	291
323	139	290
324	139	289
325	139	288
326	139	287
327	139	286
328	140	285
329	140	285
330	140	284
331	140	283
332	141	282
333	141	281
334	141	280
335	141	279
336	141	279
337	142	278
338	142	277
339	142	276
340	142	275
341	142	275
342	143	274
343	143	273
344	143	272
345	143	271
346	143	270
347	144	270
348	144	269
349	144	268
350	144	267
351	145	267
352	145	266
353	145	265
354	145	264
355	145	263
356	146	263
357	146	262
358	146	261
359	146	260
360	147	260
361	147	259
362	147	258
363	147	258
364	147	257
365	148	256
366	148	255
367	148	255
368	148	254
369	148	253
370	149	252
371	149	252
372	149	251
373	149	250
374	150	250
375	150	249
376	150	248
377	150	247
378	150	247
379	151	246
380	151	245
381	151	245
382	151	244
383	151	243
384	152	243
385	152	242
386	152	241
387	152	241
388	153	240
389	153	239
390	153	239
391	153	238
392	153	237
393	154	237
394	154	236
395	154	236
396	155	235
397	155	235
398	155	234
399	155	233
400	156	233
401	156	232
402	156	231
403	156	231
404	157	230
405	157	230
406	157	229
407	157	228
408	157	228
409	158	227
410	158	226
411	158	226
412	158	225
413	159	225
414	159	224
415	159	223
416	159	223
417	159	222
418	160	221
419	160	221
420	160	220
421	160	220
422	160	219
423	161	218
424	161	218
425	161	217
426	161	217
427	162	216
428	162	215
429	162	215
430	162	214
431	162	214
432	163	213
433	163	212
434	163	212
435	163	211
436	164	211
437	164	210
438	164	210
439	164	209
440	165	209
441	165	208
442	165	208
443	165	207
444	165	206
445	166	206
446	166	205
447	166	205
448	166	204
449	167	204
450	167	203
451	167	203
452	167	202
453	168	202
454	168	201
455	168	201
456	168	200
457	169	199
458	169	199
459	169	198
460	169	198
461	169	197
462	170	197
463	170	196
464	170	196
465	170	195
466	170	195
467	171	194
468	171	193
469	171	193
470	171	192
471	171	192
472	172	191
473	172	191
474	172	190
475	172	190
476	173	189
477	173	189
478	173	188
479	173	188
480	173	187
481	174	187
482	174	186
483	174	186
484	174	185
485	174	185
486	175	184
487	175	184
488	175	183
489	175	183
490	176	182
491	176	182
492	176	181
493	176	181
494	177	180
495	177	180
496	177	179
497	177	179
498	177	178
499	178	178
500	178	177
501	178	177
502	178	176
503	178	176
504	179	175
505	179	175
506	179	174
507	179	174
508	180	173
509	180	173
510	180	172
511	180	172
512	181	171
513	181	171
514	181	170
515	181	170
516	181	169
517	182	169
518	182	169
519	182	168
520	182	168
521	183	167
522	183	167
523	183	166
524	183	166
525	183	165
526	184	165
527	184	164
