iter	Passed	Remaining
0	0	474
1	0	368
2	1	334
3	1	309
4	1	297
5	1	289
6	2	285
7	2	280
8	2	275
9	2	270
10	2	266
11	3	263
12	3	260
13	3	259
14	4	262
15	4	266
16	4	265
17	4	263
18	5	261
19	5	259
20	5	257
21	5	255
22	6	255
23	6	256
24	6	259
25	6	257
26	7	255
27	7	255
28	7	253
29	7	252
30	8	251
31	8	249
32	8	248
33	8	247
34	8	247
35	9	246
36	9	245
37	9	245
38	9	244
39	10	243
40	10	242
41	10	242
42	10	242
43	11	241
44	11	241
45	11	241
46	11	240
47	12	239
48	12	239
49	12	238
50	12	238
51	13	239
52	13	239
53	13	240
54	13	240
55	14	239
56	14	239
57	14	238
58	14	237
59	15	237
60	15	236
61	15	235
62	15	235
63	16	235
64	16	235
65	16	235
66	16	235
67	17	235
68	17	234
69	17	233
70	17	233
71	18	233
72	18	232
73	18	231
74	18	231
75	19	231
76	19	231
77	20	236
78	20	236
79	20	236
80	20	235
81	21	235
82	21	233
83	21	232
84	21	232
85	21	232
86	22	232
87	22	231
88	22	231
89	22	230
90	23	230
91	23	230
92	23	229
93	23	229
94	24	229
95	24	228
96	24	228
97	24	227
98	24	227
99	25	226
100	25	226
101	25	226
102	25	225
103	26	225
104	26	224
105	26	224
106	26	224
107	27	224
108	27	224
109	27	224
110	27	224
111	28	223
112	28	223
113	28	223
114	28	222
115	29	222
116	29	221
117	29	221
118	29	220
119	30	220
120	30	220
121	30	219
122	30	219
123	31	219
124	31	219
125	31	219
126	31	218
127	31	217
128	32	217
129	32	217
130	33	219
131	33	219
132	33	218
133	33	219
134	34	219
135	34	218
136	34	219
137	35	219
138	35	218
139	35	218
140	35	218
141	36	217
142	36	217
143	36	216
144	36	217
145	37	216
146	37	216
147	37	216
148	37	215
149	38	215
150	38	215
151	38	215
152	38	215
153	39	214
154	39	214
155	39	214
156	39	213
157	40	213
158	40	213
159	40	212
160	40	212
161	40	211
162	41	211
163	41	210
164	41	210
165	41	210
166	42	210
167	42	209
168	42	209
169	42	209
170	43	208
171	43	208
172	43	208
173	43	207
174	43	207
175	44	206
176	44	206
177	44	206
178	44	205
179	45	205
180	45	205
181	45	205
182	45	204
183	46	204
184	46	204
185	46	203
186	46	203
187	47	203
188	47	202
189	47	202
190	47	202
191	47	201
192	48	201
193	48	201
194	48	200
195	48	200
196	49	200
197	49	200
198	49	199
199	49	199
200	50	198
201	50	199
202	50	199
203	50	198
204	51	198
205	51	198
206	51	198
207	52	198
208	52	198
209	52	197
210	52	197
211	53	197
212	53	197
213	53	196
214	53	196
215	53	195
216	54	195
217	54	195
218	54	195
219	54	194
220	55	194
221	55	194
222	55	193
223	55	193
224	56	193
225	56	193
226	56	192
227	56	192
228	57	192
229	57	192
230	57	191
231	57	191
232	58	191
233	58	190
234	58	190
235	58	189
236	58	189
237	59	189
238	59	188
239	59	188
240	59	188
241	60	188
242	60	188
243	60	187
244	60	187
245	61	187
246	61	186
247	61	186
248	61	186
249	62	186
250	62	186
251	62	185
252	62	185
253	63	185
254	63	184
255	63	184
256	63	184
257	63	183
258	64	183
259	64	183
260	64	183
261	65	183
262	65	183
263	65	182
264	65	182
265	66	182
266	66	182
267	66	182
268	66	181
269	67	181
270	67	181
271	67	181
272	67	180
273	68	180
274	68	180
275	68	180
276	68	179
277	69	179
278	69	179
279	69	179
280	69	178
281	70	178
282	70	178
283	70	178
284	70	177
285	71	177
286	71	177
287	71	177
288	71	176
289	72	176
290	72	176
291	72	175
292	72	175
293	73	175
294	73	175
295	73	174
296	73	174
297	73	174
298	74	174
299	74	173
300	74	173
301	74	173
302	75	172
303	75	172
304	75	172
305	75	172
306	76	171
307	76	171
308	76	171
309	76	171
310	77	170
311	77	170
312	77	170
313	77	169
314	78	169
315	78	169
316	78	169
317	78	168
318	78	168
319	79	168
320	79	168
321	79	167
322	79	167
323	80	167
324	80	166
325	80	166
326	80	166
327	81	166
328	81	166
329	81	165
330	81	165
331	82	165
332	82	165
333	82	164
334	82	164
335	83	164
336	83	163
337	83	163
338	83	163
339	84	163
340	84	163
341	84	162
342	84	162
343	85	162
344	85	162
345	85	161
346	85	161
347	86	161
348	86	160
349	86	160
350	86	160
351	86	160
352	87	159
353	87	159
354	87	159
355	87	158
356	88	158
357	88	158
358	88	157
359	88	157
360	89	157
361	89	157
362	89	157
363	89	156
364	90	156
365	90	156
366	90	156
367	90	155
368	91	155
369	91	155
370	91	155
371	91	154
372	91	154
373	92	154
374	92	153
375	92	153
376	92	153
377	93	153
378	93	152
379	93	152
380	93	152
381	94	152
382	94	151
383	94	151
384	94	151
385	94	151
386	95	150
387	95	150
388	95	150
389	95	149
390	96	149
391	96	149
392	96	149
393	96	149
394	97	148
395	97	148
396	97	148
397	97	147
398	98	147
399	98	147
400	98	147
401	98	146
402	98	146
403	99	146
404	99	146
405	99	145
406	99	145
407	100	145
408	100	145
409	100	144
410	100	144
411	101	144
412	101	144
413	101	143
414	101	143
415	102	143
416	102	143
417	102	142
418	102	142
419	103	142
420	103	142
421	103	141
422	103	141
423	103	141
424	104	140
425	104	140
426	104	140
427	104	140
428	105	139
429	105	139
430	105	139
431	105	139
432	106	138
433	106	138
434	106	138
435	106	138
436	106	137
437	107	137
438	107	137
439	107	137
440	107	136
441	108	136
442	108	136
443	108	136
444	108	135
445	109	135
446	109	135
447	109	135
448	109	134
449	109	134
450	110	134
451	110	133
452	110	133
453	110	133
454	111	133
455	111	132
456	111	132
457	112	132
458	112	132
459	112	132
460	112	131
461	113	131
462	113	131
463	113	131
464	113	130
465	113	130
466	114	130
467	114	130
468	114	129
469	114	129
470	115	129
471	115	128
472	115	128
473	115	128
474	115	128
475	116	127
476	116	127
477	116	127
478	116	127
479	117	126
480	117	126
481	117	126
482	117	126
483	118	125
484	118	125
485	118	125
486	118	125
487	119	124
488	119	124
489	119	124
490	119	124
491	120	123
492	120	123
493	120	123
494	120	123
495	120	122
496	121	122
497	121	122
498	121	122
499	121	121
500	122	121
501	122	121
502	122	121
503	122	120
504	123	120
505	123	120
506	123	120
507	123	119
508	123	119
509	124	119
510	124	119
511	124	118
512	124	118
513	125	118
514	125	118
515	125	117
516	125	117
517	126	117
518	126	117
519	126	116
520	127	116
521	127	116
522	127	116
523	127	116
524	128	115
525	128	115
526	128	115
527	128	115
528	129	115
529	129	114
530	129	114
531	129	114
532	130	113
533	130	113
534	130	113
535	130	113
536	131	112
537	131	112
538	131	112
539	131	112
540	132	112
541	132	111
542	132	111
543	132	111
544	132	110
545	133	110
546	133	110
547	133	110
548	133	110
549	134	109
550	134	109
